REGION,Grupos de edad,2020,2021,2022,2023
Meta,75-79,13963,14661,15381,16143
Meta,80-84,8404,8748,9151,9599
Meta,65-84,73368,76950,80755,84805
Meta,85-89,4662,4785,4935,5110
Meta,90-94,2336,2352,2373,2405
Meta,95-99,967,962,960,969
Meta,85-99,7965,8099,8268,8484
Meta,100-120,261,253,250,252
Nariño,Todas,1627589,1627386,1629181,1631117
Nariño,01-04,125196,123361,121563,119605
Nariño,05-09,124843,124439,124102,123745
Nariño,10-14,127544,125859,124605,123703
Nariño,05-14,252387,250298,248707,247448
Nariño,15-19,136053,132864,130065,127567
Nariño,20-24,139704,137437,135104,132562
Nariño,25-29,132911,133272,133386,132918
Nariño,30-34,122891,122486,122781,123621
Nariño,35-39,117823,117770,117682,117450
Nariño,40-44,107064,108433,109842,111016
Nariño,15-44,756446,752262,748860,745134
Nariño,45-49,96621,96931,97685,98864
Nariño,50-54,89676,90354,90909,91223
Nariño,55-59,78051,79613,81104,82403
Nariño,60-64,63785,65389,67144,68977
Nariño,45-64,328133,332287,336842,341467
Nariño,65-69,52035,52920,53971,55197
Nariño,70-74,41582,42431,43300,44160
Nariño,75-79,30020,31028,32029,32967
Nariño,80-84,19664,20240,20886,21587
Nariño,65-84,143301,146619,150186,153911
Nariño,85-89,12018,12237,12507,12832
Nariño,90-94,6564,6617,6689,6774
Nariño,95-99,2865,2960,3033,3080
Nariño,85-99,21447,21814,22229,22686
Nariño,100-120,679,745,794,866
Norte de Santander,Todas,1620318,1642746,1651278,1658835
Norte de Santander,01-04,138941,138613,136402,133673
Norte de Santander,05-09,136928,138581,138993,139305
Norte de Santander,10-14,134754,135349,135196,135174
Norte de Santander,05-14,271682,273930,274189,274479
Norte de Santander,15-19,137463,136481,134734,133393
Norte de Santander,20-24,144381,143244,140104,136937
Norte de Santander,25-29,139605,141994,141836,140834
Norte de Santander,30-34,126434,129229,130573,131838
Norte de Santander,35-39,115566,117845,118951,119967
Norte de Santander,40-44,101418,104726,107173,109337
Norte de Santander,15-44,764867,773519,773371,772306
Norte de Santander,45-49,90835,91897,92908,94476
Norte de Santander,50-54,85181,86499,87194,87619
Norte de Santander,55-59,75813,77510,78807,80022
Norte de Santander,60-64,61851,64297,66491,68547
Norte de Santander,45-64,313680,320203,325400,330664
Norte de Santander,65-69,46750,48873,50953,53077
Norte de Santander,70-74,33181,34871,36561,38280
Norte de Santander,75-79,22234,23207,24229,25375
Norte de Santander,80-84,14023,14478,15000,15611
Norte de Santander,65-84,116188,121429,126743,132343
Norte de Santander,85-89,8217,8349,8511,8706
Norte de Santander,90-94,4343,4312,4290,4311
Norte de Santander,95-99,1883,1870,1865,1845
Norte de Santander,85-99,14443,14531,14666,14862
Norte de Santander,100-120,517,521,507,508
Quindio,Todas,555401,562117,569569,577543
Quindio,01-04,33529,33724,33875,33853
Quindio,05-09,33116,33748,34488,35309
Quindio,10-14,34727,34573,34624,34872
Quindio,05-14,67843,68321,69112,70181
Quindio,15-19,40027,39183,38447,37874
Quindio,20-24,43916,43403,42820,42206
Quindio,25-29,43363,43877,44178,44290
Quindio,30-34,39526,40614,41780,42962
Quindio,35-39,38848,39095,39471,40099
Quindio,40-44,36073,37285,38478,39489
Quindio,15-44,241753,243457,245174,246920
Quindio,45-49,34103,34103,34425,35100
Quindio,50-54,36117,35767,35449,35188
Quindio,55-59,35629,36051,36399,36587
Quindio,60-64,32027,32719,33433,34179
Quindio,45-64,137876,138640,139706,141054
Quindio,65-69,26104,27237,28349,29405
Quindio,70-74,19434,20363,21341,22362
Quindio,75-79,13035,13810,14619,15458
Quindio,80-84,7918,8358,8845,9372
Quindio,65-84,66491,69768,73154,76597
Quindio,85-89,4440,4634,4864,5118
Quindio,90-94,2239,2303,2371,2461
Quindio,95-99,943,963,998,1031
Quindio,85-99,7622,7900,8233,8610
Quindio,100-120,287,307,315,328
Risaralda,Todas,961055,968626,977829,988091
Risaralda,01-04,62849,62534,62257,61872
Risaralda,05-09,62758,63015,63443,63980
Risaralda,10-14,64835,64272,64018,64008
Risaralda,05-14,127593,127287,127461,127988
Risaralda,15-19,70985,69606,68460,67572
Risaralda,20-24,75486,74435,73401,72403
Risaralda,25-29,75712,75568,75322,74989
Risaralda,30-34,69858,70994,72218,73394
Risaralda,35-39,68500,68280,68280,68717
Risaralda,40-44,62593,64647,66540,68006
Risaralda,15-44,423134,423530,424221,425081
Risaralda,45-49,57904,57887,58465,59647
Risaralda,50-54,60128,59743,59383,59088
Risaralda,55-59,58127,59065,59858,60391
Risaralda,60-64,52160,53248,54427,55732
Risaralda,45-64,228319,229943,232133,234858
Risaralda,65-69,41927,44051,46093,47930
Risaralda,70-74,31149,32487,33982,35658
Risaralda,75-79,21109,22462,23843,25203
Risaralda,80-84,12606,13396,14260,15209
Risaralda,65-84,106791,112396,118178,124000
Risaralda,85-89,6936,7296,7712,8168
Risaralda,90-94,3458,3600,3754,3921
Risaralda,95-99,1433,1492,1567,1647
Risaralda,85-99,11827,12388,13033,13736
Risaralda,100-120,542,548,546,556
Santander,Todas,2280908,2306455,2324090,2340657
Santander,01-04,165045,164804,163500,161665
Santander,05-09,167598,168594,168978,169397
Santander,10-14,171002,170779,170250,169908
Santander,05-14,338600,339373,339228,339305
Santander,15-19,178686,177167,175301,173653
Santander,20-24,191313,189029,185560,182219
Santander,25-29,187948,190646,191430,191048
Santander,30-34,173896,176550,178635,180864
Santander,35-39,164489,166698,168175,169522
Santander,40-44,150269,153825,156887,159660
Santander,15-44,1046601,1053915,1055988,1056966
Santander,45-49,140103,140811,141874,143721
Santander,50-54,137287,138036,138201,138081
Santander,55-59,123501,126617,129061,130945
Santander,60-64,100919,104703,108382,111995
Santander,45-64,501810,510167,517518,524742
Santander,65-69,78396,81533,84766,88138
Santander,70-74,58345,60810,63281,65824
Santander,75-79,40077,41999,43975,45988
Santander,80-84,25188,26270,27449,28743
Santander,65-84,202006,210612,219471,228693
Santander,85-89,14770,15225,15730,16316
Santander,90-94,7800,7933,8079,8240
Santander,95-99,3331,3431,3550,3662
Santander,85-99,25901,26589,27359,28218
Santander,100-120,945,995,1026,1068
Sucre,Todas,949252,962457,972350,981727
Sucre,01-04,82687,82720,82308,81739
Sucre,05-09,84460,84868,85019,85182
Sucre,10-14,85721,85707,85550,85422
Sucre,05-14,170181,170575,170569,170604
Sucre,15-19,86649,86304,85652,85098
Sucre,20-24,80649,82114,82846,83052
Sucre,25-29,74317,75235,75806,76481
Sucre,30-34,67633,69372,70725,71933
Sucre,35-39,62286,63320,64151,65027
Sucre,40-44,56795,58088,59207,60254
Sucre,15-44,428329,434433,438387,441845
Sucre,45-49,53072,53320,53668,54284
Sucre,50-54,50698,51386,51766,51947
Sucre,55-59,44389,45654,46740,47684
Sucre,60-64,35679,37131,38573,39974
Sucre,45-64,183838,187491,190747,193889
Sucre,65-69,28737,29439,30207,31169
Sucre,70-74,21628,22717,23720,24586
Sucre,75-79,14510,15167,15861,16649
Sucre,80-84,9223,9586,9990,10417
Sucre,65-84,74098,76909,79778,82821
Sucre,85-89,5469,5603,5763,5947
Sucre,90-94,2934,2967,3007,3061
Sucre,95-99,1299,1324,1358,1375
Sucre,85-99,9702,9894,10128,10383
Sucre,100-120,417,435,433,446
Tolima,Todas,1339998,1343898,1346935,1350060
Tolima,01-04,90990,90697,89843,88969
Tolima,05-09,98101,97074,96137,95272
Tolima,10-14,105271,103619,102115,100804
Tolima,05-14,203372,200693,198252,196076
Tolima,15-19,112183,109829,107523,105484
Tolima,20-24,106504,106955,106772,105887
Tolima,25-29,97209,97637,97936,98276
Tolima,30-34,89609,90839,92082,93213
Tolima,35-39,87120,87067,87110,87435
Tolima,40-44,82909,84006,85013,85807
Tolima,15-44,575534,576333,576436,576102
Tolima,45-49,79901,79476,79417,79811
Tolima,50-54,81988,81217,80306,79385
Tolima,55-59,78165,79019,79562,79751
Tolima,60-64,67487,69149,70763,72299
Tolima,45-64,307541,308861,310048,311246
Tolima,65-69,54604,56223,57908,59602
Tolima,70-74,41865,43187,44508,45891
Tolima,75-79,28975,30126,31328,32534
Tolima,80-84,18138,18681,19329,20073
Tolima,65-84,143582,148217,153073,158100
Tolima,85-89,10559,10700,10884,11140
Tolima,90-94,5510,5476,5468,5483
Tolima,95-99,2342,2327,2315,2311
Tolima,85-99,18411,18503,18667,18934
Tolima,100-120,568,594,616,633
Valle del Cauca,Todas,4532152,4556752,4589278,4622132
Valle del Cauca,01-04,340444,337371,334609,332154
Valle del Cauca,05-09,347362,345197,343360,341711
Valle del Cauca,10-14,354932,351427,348476,345797
Valle del Cauca,05-14,702294,696624,691836,687508
Valle del Cauca,15-19,364129,359740,355959,352412
Valle del Cauca,20-24,361788,360498,359151,356934
Valle del Cauca,25-29,347250,348013,349095,349848
Valle del Cauca,30-34,319269,323411,328602,333465
Valle del Cauca,35-39,305388,305552,306918,309198
Valle del Cauca,40-44,283386,288317,293661,298133
Valle del Cauca,15-44,1981210,1985531,1993386,1999990
Valle del Cauca,45-49,267093,266290,267668,270705
Valle del Cauca,50-54,270517,268607,266799,264909
Valle del Cauca,55-59,253775,257685,261024,263090
Valle del Cauca,60-64,217299,222969,228925,234848
Valle del Cauca,45-64,1008684,1015551,1024416,1033552
Valle del Cauca,65-69,171827,179208,186699,193854
Valle del Cauca,70-74,127526,132855,138624,144772
Valle del Cauca,75-79,87521,92086,96832,101592
Valle del Cauca,80-84,54551,57277,60277,63533
Valle del Cauca,65-84,441425,461426,482432,503751
Valle del Cauca,85-89,31708,32980,34411,35976
Valle del Cauca,90-94,16633,17125,17657,18271
Valle del Cauca,95-99,7117,7380,7683,7974
Valle del Cauca,85-99,55458,57485,59751,62221
Valle del Cauca,100-120,2637,2764,2848,2956
Arauca,Todas,294206,301270,304978,308301
Arauca,01-04,29892,30327,30276,30065
Arauca,05-09,28451,29153,29558,29936
Arauca,10-14,27267,27669,27871,28093
Arauca,05-14,55718,56822,57429,58029
Arauca,15-19,27280,27426,27313,27244
Arauca,20-24,27504,27829,27681,27436
Arauca,25-29,26632,27367,27579,27683
Arauca,30-34,23484,24437,25051,25595
Arauca,35-39,20618,21274,21684,22094
Arauca,40-44,17572,18263,18774,19242
Arauca,15-44,143090,146596,148082,149294
Arauca,45-49,15227,15550,15806,16135
Arauca,50-54,13550,13900,14110,14272
Arauca,55-59,11199,11598,11903,12187
Arauca,60-64,8499,8912,9276,9618
Arauca,45-64,48475,49960,51095,52212
Arauca,65-69,6056,6360,6658,6975
Arauca,70-74,4223,4385,4546,4730
Arauca,75-79,2908,2982,3057,3142
Arauca,80-84,1865,1903,1928,1973
Arauca,65-84,15052,15630,16189,16820
Arauca,85-89,1107,1089,1094,1090
Arauca,90-94,585,568,539,528
Arauca,95-99,235,230,228,217
Arauca,85-99,1927,1887,1861,1835
Arauca,100-120,52,48,46,46
Casanare,Todas,435195,439238,442068,444602
Casanare,01-04,40185,40020,39648,39159
Casanare,05-09,39372,39552,39634,39719
Casanare,10-14,38831,38773,38680,38606
Casanare,05-14,78203,78325,78314,78325
Casanare,15-19,39278,39049,38749,38471
Casanare,20-24,38834,38831,38611,38305
Casanare,25-29,37479,37730,37803,37791
Casanare,30-34,35636,35775,35892,36090
Casanare,35-39,32870,33444,33792,33988
Casanare,40-44,29387,29699,30023,30423
Casanare,15-44,213484,214528,214870,215068
Casanare,45-49,25617,26026,26386,26751
Casanare,50-54,21914,22402,22773,23063
Casanare,55-59,17646,18236,18768,19249
Casanare,60-64,13573,14054,14553,15081
Casanare,45-64,78750,80718,82480,84144
Casanare,65-69,9419,10022,10587,11096
Casanare,70-74,6392,6594,6851,7185
Casanare,75-79,4196,4367,4544,4707
Casanare,80-84,2420,2515,2599,2706
Casanare,65-84,22427,23498,24581,25694
Casanare,85-89,1271,1285,1317,1355
Casanare,90-94,579,585,585,585
Casanare,95-99,254,249,247,246
Casanare,85-99,2104,2119,2149,2186
Casanare,100-120,42,30,26,26
Putumayo,Todas,359127,364085,369064,374042
Putumayo,01-04,32760,32706,32687,32684
Putumayo,05-09,33185,33238,33302,33349
Putumayo,10-14,33804,33703,33621,33597
Putumayo,05-14,66989,66941,66923,66946
Putumayo,15-19,34659,34555,34433,34297
Putumayo,20-24,33631,33918,34098,34190
Putumayo,25-29,30542,31340,32059,32647
Putumayo,30-34,27766,28115,28604,29263
Putumayo,35-39,25614,26129,26589,26986
Putumayo,40-44,22441,22962,23508,24059
Putumayo,15-44,174653,177019,179291,181442
Putumayo,45-49,19705,20018,20380,20811
Putumayo,50-54,16865,17446,17957,18358
Putumayo,55-59,13846,14260,14681,15136
Putumayo,60-64,10789,11303,11812,12313
Putumayo,45-64,61205,63027,64830,66618
Putumayo,65-69,8119,8450,8810,9211
Putumayo,70-74,6041,6260,6499,6754
Putumayo,75-79,4123,4313,4501,4682
Putumayo,80-84,2567,2660,2774,2901
Putumayo,65-84,20850,21683,22584,23548
Putumayo,85-89,1470,1504,1541,1588
Putumayo,90-94,767,774,779,787
Putumayo,95-99,342,343,343,343
Putumayo,85-99,2579,2621,2663,2718
Putumayo,100-120,91,88,86,86
Archipiélago de San Andrés,Todas,63692,64672,65228,65663
Archipiélago de San Andrés,01-04,4926,4963,4901,4799
Archipiélago de San Andrés,05-09,4734,4820,4885,4940
Archipiélago de San Andrés,10-14,4589,4635,4665,4695
Archipiélago de San Andrés,05-14,9323,9455,9550,9635
Archipiélago de San Andrés,15-19,4631,4638,4628,4614
Archipiélago de San Andrés,20-24,4635,4620,4574,4516
Archipiélago de San Andrés,25-29,5223,5086,4931,4806
Archipiélago de San Andrés,30-34,5001,5119,5159,5151
Archipiélago de San Andrés,35-39,4481,4536,4565,4588
Archipiélago de San Andrés,40-44,4043,4132,4203,4263
Archipiélago de San Andrés,15-44,28014,28131,28060,27938
Archipiélago de San Andrés,45-49,3936,3922,3912,3927
Archipiélago de San Andrés,50-54,4386,4316,4227,4134
Archipiélago de San Andrés,55-59,4487,4540,4537,4514
Archipiélago de San Andrés,60-64,3404,3702,3953,4144
Archipiélago de San Andrés,45-64,16213,16480,16629,16719
Archipiélago de San Andrés,65-69,2164,2340,2533,2748
Archipiélago de San Andrés,70-74,1361,1479,1601,1727
Archipiélago de San Andrés,75-79,836,906,973,1046
Archipiélago de San Andrés,80-84,459,500,544,591
Archipiélago de San Andrés,65-84,4820,5225,5651,6112
Archipiélago de San Andrés,85-89,223,240,256,274
Archipiélago de San Andrés,90-94,100,106,110,117
Archipiélago de San Andrés,95-99,46,47,49,50
Archipiélago de San Andrés,85-99,369,393,415,441
Archipiélago de San Andrés,100-120,27,25,22,19
Amazonas,Todas,79020,80464,82068,83808
Amazonas,01-04,9562,9547,9585,9689
Amazonas,05-09,9678,9632,9586,9523
Amazonas,10-14,9378,9460,9513,9563
Amazonas,05-14,19056,19092,19099,19086
Amazonas,15-19,8371,8587,8798,8992
Amazonas,20-24,6869,7127,7409,7689
Amazonas,25-29,5995,6078,6212,6385
Amazonas,30-34,5474,5567,5681,5808
Amazonas,35-39,4895,5036,5154,5271
Amazonas,40-44,4109,4255,4423,4586
Amazonas,15-44,35713,36650,37677,38731
Amazonas,45-49,3457,3547,3663,3813
Amazonas,50-54,2891,2999,3102,3204
Amazonas,55-59,2426,2473,2532,2608
Amazonas,60-64,1905,2004,2103,2186
Amazonas,45-64,10679,11023,11400,11811
Amazonas,65-69,1426,1486,1547,1626
Amazonas,70-74,910,1004,1092,1170
Amazonas,75-79,600,610,635,669
Amazonas,80-84,455,449,454,453
Amazonas,65-84,3391,3549,3728,3918
Amazonas,85-89,319,313,296,292
Amazonas,90-94,193,182,177,175
Amazonas,95-99,92,92,91,89
Amazonas,85-99,604,587,564,556
Amazonas,100-120,15,16,15,17
Guainía,Todas,50636,51450,52061,52627
Guainía,01-04,6749,6728,6724,6757
Guainía,05-09,6713,6633,6518,6395
Guainía,10-14,6550,6499,6439,6362
Guainía,05-14,13263,13132,12957,12757
Guainía,15-19,6045,6085,6082,6061
Guainía,20-24,4898,5087,5227,5317
Guainía,25-29,3710,3912,4072,4231
Guainía,30-34,3010,3107,3217,3334
Guainía,35-39,2650,2718,2776,2844
Guainía,40-44,2300,2373,2428,2470
Guainía,15-44,22613,23282,23802,24257
Guainía,45-49,1946,1988,2039,2089
Guainía,50-54,1663,1721,1763,1808
Guainía,55-59,1418,1450,1471,1506
Guainía,60-64,970,1079,1172,1241
Guainía,45-64,5997,6238,6445,6644
Guainía,65-69,640,660,690,734
Guainía,70-74,518,536,548,568
Guainía,75-79,357,373,391,405
Guainía,80-84,232,233,242,247
Guainía,65-84,1747,1802,1871,1954
Guainía,85-89,145,141,141,140
Guainía,90-94,81,83,80,78
Guainía,95-99,33,35,31,31
Guainía,85-99,259,259,252,249
Guainía,100-120,8,9,10,9
Guaviare,Todas,86657,88490,90357,92281
Guaviare,01-04,9393,9476,9599,9740
Guaviare,05-09,9109,9208,9309,9409
Guaviare,10-14,8870,8928,8989,9068
Guaviare,05-14,17979,18136,18298,18477
Guaviare,15-19,8666,8731,8785,8843
Guaviare,20-24,7992,8206,8375,8510
Guaviare,25-29,6700,7051,7388,7671
Guaviare,30-34,5884,6019,6196,6453
Guaviare,35-39,5378,5548,5703,5842
Guaviare,40-44,5085,5101,5147,5240
Guaviare,15-44,39705,40656,41594,42559
Guaviare,45-49,4595,4714,4826,4917
Guaviare,50-54,4117,4164,4212,4269
Guaviare,55-59,3555,3650,3736,3811
Guaviare,60-64,2661,2792,2921,3047
Guaviare,45-64,14928,15320,15695,16044
Guaviare,65-69,1824,1925,2024,2138
Guaviare,70-74,1237,1303,1379,1450
Guaviare,75-79,777,823,874,928
Guaviare,80-84,432,457,490,519
Guaviare,65-84,4270,4508,4767,5035
Guaviare,85-89,215,230,237,256
Guaviare,90-94,96,98,100,104
Guaviare,95-99,38,35,44,45
Guaviare,85-99,349,363,381,405
Guaviare,100-120,33,31,23,21
Vaupés,Todas,44712,46808,48932,51133
Vaupés,01-04,6386,6622,6926,7330
Vaupés,05-09,6655,6660,6649,6629
Vaupés,10-14,6710,6792,6856,6896
Vaupés,05-14,13365,13452,13505,13525
Vaupés,15-19,5971,6266,6499,6690
Vaupés,20-24,4010,4534,5046,5494
Vaupés,25-29,2649,2883,3163,3519
Vaupés,30-34,2203,2348,2508,2688
Vaupés,35-39,1863,1980,2100,2219
Vaupés,40-44,1636,1707,1792,1874
Vaupés,15-44,18332,19718,21108,22484
Vaupés,45-49,1476,1539,1598,1676
Vaupés,50-54,1281,1363,1431,1486
Vaupés,55-59,1156,1189,1238,1295
Vaupés,60-64,921,1003,1067,1123
Vaupés,45-64,4834,5094,5334,5580
Vaupés,65-69,668,712,760,820
Vaupés,70-74,425,476,527,576
Vaupés,75-79,262,271,294,319
Vaupés,80-84,195,213,218,227
Vaupés,65-84,1550,1672,1799,1942
Vaupés,85-89,130,131,137,145
Vaupés,90-94,71,75,77,78
Vaupés,95-99,35,36,38,41
Vaupés,85-99,236,242,252,264
Vaupés,100-120,9,8,8,8
Vichada,Todas,112958,114557,115778,116944
Vichada,01-04,13973,13943,13904,13927
Vichada,05-09,14148,14014,13841,13642
Vichada,10-14,13867,13846,13772,13664
Vichada,05-14,28015,27860,27613,27306
Vichada,15-19,12759,12892,12962,13003
Vichada,20-24,10865,11154,11363,11532
Vichada,25-29,8884,9171,9416,9654
Vichada,30-34,7492,7664,7819,7996
Vichada,35-39,6544,6684,6798,6901
Vichada,40-44,5704,5792,5862,5951
Vichada,15-44,52248,53357,54220,55037
Vichada,45-49,4758,4889,5007,5114
Vichada,50-54,4031,4101,4167,4226
Vichada,55-59,3361,3459,3534,3608
Vichada,60-64,2492,2632,2767,2887
Vichada,45-64,14642,15081,15475,15835
Vichada,65-69,1726,1806,1895,1996
Vichada,70-74,1085,1172,1253,1336
Vichada,75-79,620,653,695,745
Vichada,80-84,346,367,396,420
Vichada,65-84,3777,3998,4239,4497
Vichada,85-89,174,188,195,207
Vichada,90-94,74,77,82,85
Vichada,95-99,32,32,32,32
Vichada,85-99,280,297,309,324
Vichada,100-120,23,21,18,18
